# Sampled DOM wavelength acceptance
# wavelength (nm), acceptance
2.650000000000000000e+02,8.942785007727868635e-06
2.700000000000000000e+02,8.591854224893804228e-06
2.750000000000000000e+02,8.261100650589695880e-06
2.800000000000000000e+02,7.949033618666110328e-06
2.850000000000000000e+02,7.654295233739182461e-06
2.900000000000000000e+02,7.375646567781344901e-06
2.950000000000000000e+02,4.767353571288421191e-06
3.000000000000000000e+02,2.337665403377311721e-06
3.050000000000000000e+02,6.987760866822844438e-05
3.100000000000000000e+02,1.328350315798898919e-04
3.150000000000000000e+02,3.306364783980838802e-04
3.200000000000000000e+02,5.153979763788262176e-04
3.250000000000000000e+02,1.010242964275881970e-03
3.300000000000000000e+02,1.473440674632066480e-03
3.350000000000000000e+02,2.229216820779171201e-03
3.400000000000000000e+02,2.937881262652823362e-03
3.450000000000000000e+02,3.851999960732523532e-03
3.500000000000000000e+02,4.710416056823321478e-03
3.550000000000000000e+02,5.066209623919367896e-03
3.600000000000000000e+02,5.399535332841085868e-03
3.650000000000000000e+02,5.808077541183858175e-03
3.700000000000000000e+02,6.191644910969051549e-03
3.750000000000000000e+02,6.308581622429992701e-03
3.800000000000000000e+02,6.416914581476349834e-03
3.850000000000000000e+02,6.449749101749061714e-03
3.900000000000000000e+02,6.478658617483579879e-03
3.950000000000000000e+02,6.464242845845582196e-03
4.000000000000000000e+02,6.448481299477135630e-03
4.050000000000000000e+02,6.376582500668591218e-03
4.100000000000000000e+02,6.306320424702792707e-03
4.150000000000000000e+02,6.155737361679528875e-03
4.200000000000000000e+02,6.010687005210995498e-03
4.250000000000000000e+02,5.791211935240842337e-03
4.300000000000000000e+02,5.580542501282191072e-03
4.350000000000000000e+02,5.364968622469198922e-03
4.400000000000000000e+02,5.157955338345065165e-03
4.450000000000000000e+02,4.954718757389659119e-03
4.500000000000000000e+02,4.759417321618107308e-03
4.550000000000000000e+02,4.547906341968096199e-03
4.600000000000000000e+02,4.344638308427913043e-03
4.650000000000000000e+02,4.107356784101052691e-03
4.700000000000000000e+02,3.879371832204622870e-03
4.750000000000000000e+02,3.682154344408802675e-03
4.800000000000000000e+02,3.492450809445721196e-03
4.850000000000000000e+02,3.335213684700505561e-03
4.900000000000000000e+02,3.183766364807338184e-03
4.950000000000000000e+02,3.053439745711571292e-03
5.000000000000000000e+02,2.927763539363422741e-03
5.050000000000000000e+02,2.794244280590637078e-03
5.100000000000000000e+02,2.665471232902443411e-03
5.150000000000000000e+02,2.453036304894385365e-03
5.200000000000000000e+02,2.248402823639970936e-03
5.250000000000000000e+02,1.988239640162847797e-03
5.300000000000000000e+02,1.737645556423164607e-03
5.350000000000000000e+02,1.552063609607235795e-03
5.400000000000000000e+02,1.373160059961899817e-03
5.450000000000000000e+02,1.252057895282645758e-03
5.500000000000000000e+02,1.135195584441909883e-03
5.550000000000000000e+02,1.050603245727888121e-03
5.600000000000000000e+02,9.688926703688882820e-04
5.650000000000000000e+02,8.933292105124325706e-04
5.700000000000000000e+02,8.203044535072953006e-04
5.750000000000000000e+02,7.523360217233123187e-04
5.800000000000000000e+02,6.866216655406535106e-04
5.850000000000000000e+02,6.185223426296393261e-04
5.900000000000000000e+02,5.526648225402882881e-04
5.950000000000000000e+02,4.949766820762083923e-04
6.000000000000000000e+02,4.391610324975079183e-04
6.050000000000000000e+02,3.844205330877974386e-04
6.100000000000000000e+02,3.314398114336818526e-04
6.150000000000000000e+02,2.898291120682186029e-04
6.200000000000000000e+02,2.495349033247616036e-04
6.250000000000000000e+02,2.065580648056099852e-04
6.300000000000000000e+02,1.649303894190166811e-04
6.350000000000000000e+02,1.357417067104332430e-04
6.400000000000000000e+02,1.074549438793603369e-04
6.450000000000000000e+02,8.467254288652015389e-05
6.500000000000000000e+02,6.258488984075621052e-05
6.550000000000000000e+02,4.967593323521938940e-05
6.600000000000000000e+02,3.715394533160688677e-05
6.650000000000000000e+02,3.004351914065291076e-05
6.700000000000000000e+02,2.314243912486289932e-05
6.750000000000000000e+02,1.647190572829647617e-05
