# energy (GeV), length (m)
1.058710096481409180e-01, 8.450396126136187804e-05
1.108374763858570866e-01, 9.289104121978547556e-04
1.160369227838109057e-01, 4.345524502064415998e-03
1.214802780447839514e-01, 1.207623244463225040e-02
1.271789840664141746e-01, 2.453330049567323604e-02
1.331450194919908681e-01, 4.129102211173795584e-02
1.393909248894856234e-01, 6.158998708545467687e-02
1.459298291117452906e-01, 8.491254275777040950e-02
1.527754768932559348e-01, 1.111007659363461020e-01
1.599422577414860436e-01, 1.400524169989547929e-01
1.674452361835383762e-01, 1.717820540541042107e-01
1.753001834316888496e-01, 2.063070563149186909e-01
1.835236105343726887e-01, 2.437378299476500587e-01
1.921328030823021282e-01, 2.842222306395749132e-01
2.011458575426661732e-01, 3.276548121998297813e-01
2.105817192977881835e-01, 3.741441985108343027e-01
2.204602224681970757e-01, 4.237981055578257106e-01
2.308021316038207094e-01, 4.766053919052369303e-01
2.416291853309360249e-01, 5.326633594755572076e-01
2.529641420466210433e-01, 5.923258531086472711e-01
2.648308277567588132e-01, 6.555664798567657492e-01
2.772541861581480083e-01, 7.222505749867120795e-01
2.902603310699925498e-01, 7.927265723692630273e-01
3.038766013249811770e-01, 8.669394646650110392e-01
3.181316182353375877e-01, 9.449771280248199234e-01
3.330553457546336915e-01, 1.026953360123025405e+00
3.486791534618268740e-01, 1.113298054130163361e+00
3.650358824999125340e-01, 1.203794358675630116e+00
3.821599146077948594e-01, 1.298668414277827532e+00
4.000872443904799902e-01, 1.398044004397825280e+00
4.188555549795037747e-01, 1.502296710655149470e+00
4.385042972426307362e-01, 1.611363122504447132e+00
4.590747727093240083e-01, 1.725358981300897598e+00
4.806102203862934741e-01, 1.844537321797671270e+00
5.031559076456090240e-01, 1.969417950190582856e+00
5.267592253764245003e-01, 2.099809327114020352e+00
5.514697876003211707e-01, 2.236114377166263711e+00
5.773395357596605715e-01, 2.378342306989086552e+00
6.044228478981614749e-01, 2.526969382297352240e+00
6.327766529631971837e-01, 2.682150243385489574e+00
6.624605504700750158e-01, 2.844047559263212843e+00
6.935369357798334411e-01, 3.013145377421068360e+00
7.260711312538881135e-01, 3.189501764510113802e+00
7.601315235612141619e-01, 3.373545115864985622e+00
7.957897074266834236e-01, 3.565460294012080311e+00
8.331206361227139201e-01, 3.765694357584610241e+00
8.722027790205648667e-01, 3.974706269943089509e+00
9.131182865324487530e-01, 4.192673450723209072e+00
9.559531627911679319e-01, 4.419984988813893345e+00
1.000797446430246929e+00, 4.657074979557799921e+00
1.047745399844558944e+00, 4.904375705830989141e+00
1.096895707329272218e+00, 5.162233128441889640e+00
1.148351682513600203e+00, 5.431144016650318207e+00
1.202221485525385658e+00, 5.711585199848775218e+00
1.258618350342990411e+00, 6.003958921070437604e+00
1.317660822812387833e+00, 6.308945125141052657e+00
1.379473009829765173e+00, 6.626943336917116234e+00
1.444184840213419418e+00, 6.958503823105381514e+00
1.511932337813295613e+00, 7.304183708057693458e+00
1.582857907432240196e+00, 7.664916942021645418e+00
1.657110634159979279e+00, 8.040987895264857244e+00
1.734846596749014758e+00, 8.433214337400444904e+00
1.816229195691154485e+00, 8.842179423032169083e+00
1.901429496684293285e+00, 9.268713845968406417e+00
1.990626590211404867e+00, 9.713482325984099219e+00
2.084007967987581367e+00, 1.017736938469670349e+01
2.181769917066410436e+00, 1.066113612593463245e+01
2.284117932434094111e+00, 1.116563500847165535e+01
2.391267148958583277e+00, 1.169198871223493263e+01
2.503442793601684535e+00, 1.224098952133480189e+01
2.620880658844677580e+00, 1.281372411815182666e+01
2.743827598322592820e+00, 1.341135061317170774e+01
2.872542045708955882e+00, 1.403499531956016710e+01
3.007294557941705637e+00, 1.468592002249153694e+01
3.148368383932129699e+00, 1.536541389458261797e+01
3.296060059952248711e+00, 1.607487845051569764e+01
3.450680032952147869e+00, 1.681583750898975893e+01
3.612553313117461862e+00, 1.758978882493789442e+01
3.782020157038688879e+00, 1.839829038744142764e+01
3.959436782928348109e+00, 1.924307308470289257e+01
4.145176119389364366e+00, 2.012583004670628384e+01
4.339628589308587081e+00, 2.104844481466165718e+01
