# energy (GeV), length (m)
4.543202930523172256e+00, 2.201276601557007595e+01
4.756327054984888392e+00, 2.302078483760791983e+01
4.979448948228274219e+00, 2.407459728758071549e+01
5.213037611033340291e+00, 2.517637380903832067e+01
5.457584045262184880e+00, 2.632837043070515648e+01
5.713602285941737691e+00, 2.753299515466552805e+01
5.981630481762075568e+00, 2.879267292243438092e+01
6.262232026261487228e+00, 3.011006583046478013e+01
6.555996742076064976e+00, 3.148790719334330390e+01
6.863542120743076680e+00, 3.292898217046617049e+01
7.185514620664191554e+00, 3.443633213307962393e+01
7.522591025956870681e+00, 3.601308474325779940e+01
7.875479869050217019e+00, 3.766243366224786371e+01
8.244922920015566703e+00, 3.938779244018520842e+01
8.631696745762397427e+00, 4.119276765302944199e+01
9.036614342376953601e+00, 4.308098200487140872e+01
9.460526844034786720e+00, 4.505639551109377550e+01
9.904325312079290455e+00, 4.712315199234696905e+01
1.036894260802689516e+01, 4.928551210070274635e+01
1.085535535443596622e+01, 5.154793360888152165e+01
1.136458598776111728e+01, 5.391501130414922471e+01
1.189770490750801457e+01, 5.639169510429110943e+01
1.245583272620629600e+01, 5.898303482054265601e+01
1.304014262492979093e+01, 6.169457199393109903e+01
1.365186281931566370e+01, 6.453177124211805449e+01
1.429227914126565580e+01, 6.750043857988495688e+01
1.496273774175655724e+01, 7.060674371114602366e+01
1.566464792044075871e+01, 7.385703061962605886e+01
1.639948508798514837e+01, 7.725789302896303923e+01
1.716879386737468849e+01, 8.081699337444408116e+01
1.797419134070009861e+01, 8.454105795852059657e+01
1.881737044825382910e+01, 8.843791126506800993e+01
1.970010354707979516e+01, 9.251546290495483049e+01
2.062424613645627147e+01, 9.678205515228866318e+01
2.159174075814359028e+01, 1.012467728470789154e+02
2.260462107959419598e+01, 1.059185702398505526e+02
2.366501616870870706e+01, 1.108068075717763605e+02
2.477515496912270265e+01, 1.159223307623393566e+02
2.593737098543206798e+01, 1.212749521943844115e+02
2.715410718820439584e+01, 1.268748936924621802e+02
2.842792114908755963e+01, 1.327355020579089739e+02
2.976149041680861274e+01, 1.388678679023039706e+02
3.115761814536414676e+01, 1.452840082909626744e+02
3.261923898623168583e+01, 1.519969210439181211e+02
3.414942525698839404e+01, 1.590234397120323706e+02
3.575139339930253612e+01, 1.663745610222987921e+02
3.742851073987340982e+01, 1.740662720900358522e+02
3.918430256853006455e+01, 1.821156647860715339e+02
4.102245954836789821e+01, 1.905354002344620312e+02
4.294684547349878301e+01, 1.993436584578511201e+02
4.496150539072108643e+01, 2.085572112800068112e+02
4.707067410218228076e+01, 2.181904867382871487e+02
4.927878506690536398e+01, 2.282615835972698903e+02
5.159047971989151904e+01, 2.387944342387639267e+02
5.401061722838610990e+01, 2.497777645918591816e+02
5.654428470581733990e+01, 2.612859175374260872e+02
5.919680790487537791e+01, 2.734106967738582625e+02
6.197376241221064674e+01, 2.860435012851692136e+02
6.488098536828047713e+01, 2.991803493502765718e+02
6.792458773698119501e+01, 3.128631597701656233e+02
7.111096715085429310e+01, 3.271134069214234614e+02
7.444682135886930041e+01, 3.416667191739884970e+02
7.793916230504832754e+01, 3.573084768971465905e+02
8.159533086752776398e+01, 3.730447959677780432e+02
8.542301228903608035e+01, 3.896416144149736738e+02
8.943025233122520490e+01, 4.075259991825809607e+02
9.362547418680885869e+01, 4.253645068049985412e+02
9.801749618506002548e+01, 4.444895605530107900e+02
1.026155503278813939e+02, 4.649247635849639551e+02
1.074293016954146793e+02, 4.850354425766950612e+02
1.124688687619758127e+02, 5.052029206618627768e+02
1.177448446650235354e+02, 5.270687942849867795e+02
1.232683194718651265e+02, 5.512785337335793656e+02
1.290509034909072454e+02, 5.769203956428110587e+02
1.351047516764483589e+02, 6.023755438517896437e+02
1.414425891783151883e+02, 6.268250433313255598e+02
1.480777380900445053e+02, 6.542712033827114055e+02
1.550241454518389901e+02, 6.832986884688996270e+02
1.622964125671544764e+02, 7.117485487822668802e+02
1.699098256945468677e+02, 7.417797712539050963e+02
1.778803881792879054e+02, 7.764030543353038638e+02
1.862248540922940947e+02, 8.099939294801911274e+02
1.949607634470763458e+02, 8.423122931273079530e+02
2.041064790687337620e+02, 8.777396322280469576e+02
2.136812251924951056e+02, 9.124690011870746957e+02
2.237051278729357193e+02, 9.509856904754936977e+02
2.341992572888158861e+02, 9.892388758632287136e+02
2.451856720324590526e+02, 1.030508398434085848e+03
2.566874654767722745e+02, 1.073613939920063558e+03
2.687288143173651633e+02, 1.121759097582474624e+03
2.813350293918102238e+02, 1.171247191228543670e+03
2.945326088828578577e+02, 1.214352760762973503e+03
3.083492940174477894e+02, 1.259313630102703883e+03
3.228141273785868179e+02, 1.310012783595461769e+03
3.379575139526733096e+02, 1.364104971537374695e+03
3.538112850405799463e+02, 1.408981651036224321e+03
3.704087651668453418e+02, 1.465530113804302118e+03
3.877848421276070212e+02, 1.527069577201916218e+03
4.059760403245264229e+02, 1.592983402259417062e+03
4.250205975388427078e+02, 1.658683365389132405e+03
4.449585453069454957e+02, 1.722987134721430493e+03
4.658317930664023265e+02, 1.791184155153106531e+03
4.876842162493300066e+02, 1.839745251988656719e+03
5.105617485082658504e+02, 1.898319647813000529e+03
5.345124782684127922e+02, 1.963749971277749410e+03
5.595867498091952257e+02, 2.043093191497133830e+03
5.858372690876132083e+02, 2.122016849677073878e+03
6.133192145258200298e+02, 2.193405003290094101e+03
6.420903529958139870e+02, 2.271260738279276666e+03
6.722111612450257780e+02, 2.353438545057054853e+03
7.037449530180566626e+02, 2.426266855453612152e+03
7.367580121417562395e+02, 2.475095128859309170e+03
7.713197318534008673e+02, 2.538111057438813077e+03
8.075027606648332039e+02, 2.617082597096324207e+03
8.453831550691596703e+02, 2.670290784849279589e+03
8.850405394110148336e+02, 2.777671760076481405e+03
9.265582732564132584e+02, 2.890838682117943335e+03
9.700236266140258294e+02, 3.008616210937499091e+03
